Patientname,Vessel Id,StartPointLandmarkType,EndPointLandmarkType,StartPointPositionX,StartPointPositionY,StartPointPositionZ,EndPointPositionX,EndPointPositionY,EndPointPositionZ,VesselType,NumPts,TotalLength,A_Diameter,A_SectionArea,Volume,A_Intensity,A_NormIntensity,Surface,Tortuosity,Bifurcation Angle,Order,
XX,0,1,3,276.073,241.836,65.5285,299.589,230.924,80.375,1,23,70.6397,5.47214,96.9638,6803.29,0.956522,0.956522,2420.8,2.36458,40.9489,1,
XX,1,19,18,280.803,242.345,82.4402,262.158,246.692,78.7794,17,8,21.0418,3.38286,36.2519,728.229,0.875,0.875,437.489,1.07949,47.3344,2,
XX,2,8,4,229.913,200.286,108.581,241.637,211.465,112.143,4,7,18.0243,2.96548,31.9272,490.759,0.571429,0.571429,309.314,1.0867,34.9526,2,
XX,3,4,6,241.637,211.465,112.143,277.653,209.695,98.0911,8,15,42.1441,3.0151,29.1239,1248.61,0.933333,0.933333,805.248,1.08897,34.9526,2,
XX,4,22,20,247.992,214.33,107.1,262.339,243.475,97.6831,22,12,37.1659,3.24528,34.6191,1474.84,0.916667,0.916667,801.923,1.09888,78.8906,3,
XX,5,4,2,241.637,211.465,112.143,234.012,233.018,86.4844,2,20,70.2477,5.11042,84.8328,6021.39,0.95,0.95,2288.91,2.0441,34.9526,1,
XX,6,3,5,299.589,230.924,80.375,280.649,210.965,97.3847,7,11,36.0252,3.54261,41.7076,1557.39,0.909091,0.909091,816.202,1.11367,40.9489,2,
XX,7,7,13,343.426,223.256,59.4407,343.73,246.465,84.5439,5,13,35.782,2.73742,26.5732,1009.76,0.923077,0.923077,642.557,1.04658,69.9109,3,
XX,8,7,13,343.426,223.256,59.4407,354.965,259.704,74.1884,5,19,54.731,2.54973,21.2547,1262.32,0.894737,0.894737,910.047,1.33566,69.9109,3,
XX,9,18,20,262.158,246.692,78.7794,262.339,243.475,97.6831,18,8,20.4017,3.11268,31.1777,583.972,0.875,0.875,383.447,1.06389,78.8676,2,
XX,10,18,17,262.158,246.692,78.7794,253.754,248.573,71.1764,16,4,11.9036,2.76596,27.1165,447.451,0.75,0.75,255.095,1.03618,47.3344,1,
XX,11,3,7,299.589,230.924,80.375,343.426,223.256,59.4407,3,18,60.0099,3.59546,41.0744,2657.97,0.944444,0.944444,1402.16,1.22019,55.4299,2,
XX,12,20,99,262.339,243.475,97.6831,235.76,261.634,113.241,20,15,45.2706,3.64216,44.2235,2139.19,0.933333,0.933333,1094.19,1.26622,110.401,3,
XX,13,19,99,280.803,242.345,82.4402,296.47,283.636,84.2715,19,17,48.0104,2.93264,27.956,1410.45,0.941176,0.941176,914.804,1.08617,0,3,
XX,14,6,99,277.653,209.695,98.0911,273.53,194.412,104.059,10,6,17.8526,3.36752,37.1814,692.838,0.833333,0.833333,389.091,1.05532,0,3,
XX,15,5,99,280.649,210.965,97.3847,292.829,188.879,105.126,9,12,33.3242,2.74897,26.0737,937.893,0.916667,0.916667,608.472,1.26305,0,3,
