Patientname,Vessel Id,StartPointLandmarkType,EndPointLandmarkType,StartPointPositionX,StartPointPositionY,StartPointPositionZ,EndPointPositionX,EndPointPositionY,EndPointPositionZ,VesselType,NumPts,TotalLength,A_Diameter,A_SectionArea,Volume,A_Intensity,A_NormIntensity,Surface,Tortuosity,Bifurcation Angle,Order,
XX,0,13,7,327.344,167.725,87.2176,326.074,152.803,71.9101,5,17,47.5741,2.80007,26.5597,1189.29,0.941176,0.941176,812.959,2.22154,74.739,3,
XX,1,4,6,200.525,171.591,56.2596,229.661,163.415,54.7532,8,7,33.5497,5.63762,102.573,4020.52,0.428571,0.428571,1286.67,1.10728,66.626,2,
XX,2,7,3,326.074,152.803,71.9101,271.822,166.637,63.4899,3,21,61.3424,4.40335,61.3209,3648.03,0.952381,0.952381,1673.43,1.08345,49.6291,2,
XX,3,3,1,271.822,166.637,63.4899,258.021,149.776,42.3871,1,12,33.6578,5.0278,87.6153,3214.48,0.916667,0.916667,1150.71,1.10961,24.5193,1,
XX,4,8,4,172.984,167.117,48.7958,200.525,171.591,56.2596,4,11,30.1218,4.44887,63.5062,1827.54,0.909091,0.909091,823.872,1.0429,60.7196,2,
XX,5,4,2,200.525,171.591,56.2596,214.583,159.408,42.7913,2,8,28.4679,5.3791,95.9702,2940.67,0.875,0.875,1019.16,1.23956,60.7196,1,
XX,6,5,6,241.658,160.304,57.0989,229.661,163.415,54.7532,11,4,12.6619,4.33305,60.0481,641.729,0.75,0.75,318.923,1.00379,78.2939,3,
XX,7,5,3,241.658,160.304,57.0989,271.822,166.637,63.4899,7,10,32.6306,4.28995,60.4657,1877.2,0.9,0.9,861.595,1.03664,54.2874,2,
XX,8,18,20,251.409,204.367,56.2362,249.283,189.059,61.6839,18,6,20.2281,4.00589,51.9691,1313.2,0.833333,0.833333,567.883,1.23441,0,2,
XX,9,19,18,222.078,202.29,56.4312,251.409,204.367,56.2362,17,11,30.1642,3.95478,49.4639,1448.05,0.909091,0.909091,738.891,1.02583,0,2,
XX,10,8,30,172.984,167.117,48.7958,169.489,163.048,46.1263,6,3,6.03076,2.92643,27.122,143.332,0.666667,0.666667,104.16,1.00651,16.9374,3,
XX,11,7,99,326.074,152.803,71.9101,331.659,210.356,95.4079,5,23,65.6137,3.31563,34.8868,2324.31,0.956522,0.956522,1378.99,1.05123,74.739,3,
XX,12,30,99,169.489,163.048,46.1263,162.302,146.215,76.8079,6,19,50.6827,2.83687,27.1259,1429.79,0.894737,0.894737,930.85,1.41864,16.9374,4,
XX,13,30,99,169.489,163.048,46.1263,148.599,166.987,79.1701,6,20,56.6887,3.22205,33.0259,1898.69,0.9,0.9,1156.24,1.44279,16.9374,4,
XX,14,19,99,222.078,202.29,56.4312,208.377,222.606,63.3278,19,9,26.1975,3.10274,30.568,831.085,0.888889,0.888889,520.404,1.02913,0,3,
XX,15,5,99,241.658,160.304,57.0989,234.258,124.904,71.8463,9,14,44.1296,3.72154,48.2455,2324.61,0.785714,0.785714,1103.05,1.12988,84.0555,3,
XX,16,20,99,249.283,189.059,61.6839,281.519,215.04,67.2787,20,16,44.8381,3.10497,30.4803,1388.92,0.9375,0.9375,882.247,1.07322,0,3,
XX,17,6,99,229.661,163.415,54.7532,239.518,146.969,68.0068,10,9,26.3793,3.64036,43.0216,1218.21,0.888889,0.888889,620.84,1.13176,72.5323,3,
